obs_date	station	air_temp_c	pressure_reading	daily_rain_mm
02-03-2012	Sunspire Dune	24.9	1010.6	0.12
03-03-2012	Sunspire Dune	25.1	1010.5	0.12
04-03-2012	Sunspire Dune	25.2	1010.5	0.12
05-03-2012	Sunspire Dune	25.4	1010.5	0.12
06-03-2012	Sunspire Dune	25.5	1010.5	0.12
07-03-2012	Sunspire Dune	25.7	1010.4	0.12
08-03-2012	Sunspire Dune	25.8	1010.4	0.12
09-03-2012	Sunspire Dune	26.0	1010.4	0.11
10-03-2012	Sunspire Dune	26.1	1010.3	0.11
11-03-2012	Sunspire Dune	26.3	1010.3	0.11
12-03-2012	Sunspire Dune	26.4	1010.3	0.11
13-03-2012	Sunspire Dune	26.6	1010.2	0.11
14-03-2012	Sunspire Dune	26.7	1010.2	0.1
15-03-2012	Sunspire Dune	26.9	1010.2	0.1
16-03-2012	Sunspire Dune	27.1	1010.1	0.1
17-03-2012	Sunspire Dune	27.2	1010.1	0.1
18-03-2012	Sunspire Dune	27.4	1010.0	0.09
19-03-2012	Sunspire Dune	27.6	1010.0	0.09
20-03-2012	Sunspire Dune	27.7	1010.0	0.09
21-03-2012	Sunspire Dune	27.9	1009.9	0.09
22-03-2012	Sunspire Dune	28.0	1009.9	0.08
23-03-2012	Sunspire Dune	28.2	1009.8	0.08
24-03-2012	Sunspire Dune	28.4	1009.8	0.08
25-03-2012	Sunspire Dune	28.5	1009.8	0.09
26-03-2012	Sunspire Dune	28.7	1009.7	0.09
27-03-2012	Sunspire Dune	28.9	1009.7	0.09
28-03-2012	Sunspire Dune	29.0	1009.6	0.1
29-03-2012	Sunspire Dune	29.2	1009.6	0.1
30-03-2012	Sunspire Dune	29.3	1009.5	0.1
31-03-2012	Sunspire Dune	29.5	1009.5	0.1
01-04-2012	Sunspire Dune	29.6	1009.4	0.11
02-04-2012	Sunspire Dune	29.8	1009.4	0.11
03-04-2012	Sunspire Dune	30.0	1009.3	0.11
04-04-2012	Sunspire Dune	30.1	1009.3	0.11
05-04-2012	Sunspire Dune	30.3	1009.3	0.11
06-04-2012	Sunspire Dune	30.4	1009.2	0.12
07-04-2012	Sunspire Dune	30.6	1009.2	0.12
08-04-2012	Sunspire Dune	30.7	1009.1	0.12
09-04-2012	Sunspire Dune	30.9	1009.1	0.12
10-04-2012	Sunspire Dune	31.0	1009.0	0.12
11-04-2012	Sunspire Dune	31.2	1009.0	0.12
12-04-2012	Sunspire Dune	31.3	1008.9	0.12
13-04-2012	Sunspire Dune	31.4	1008.9	0.12
14-04-2012	Sunspire Dune	31.6	1008.8	0.12
15-04-2012	Sunspire Dune	31.7	1008.8	0.12
16-04-2012	Sunspire Dune	31.9	1008.7	0.12
17-04-2012	Sunspire Dune	32.0	1008.7	0.12
18-04-2012	Sunspire Dune	32.1	1008.6	0.12
19-04-2012	Sunspire Dune	32.3	1008.6	0.11
20-04-2012	Sunspire Dune	32.4	1008.5	0.11
21-04-2012	Sunspire Dune	32.5	1008.5	0.11
22-04-2012	Sunspire Dune	32.6	1008.4	0.11
23-04-2012	Sunspire Dune	32.8	1008.4	0.11
24-04-2012	Sunspire Dune	32.9	1008.3	0.1
25-04-2012	Sunspire Dune	33.0	1008.3	0.1
26-04-2012	Sunspire Dune	33.1	1008.2	0.1
27-04-2012	Sunspire Dune	33.2	1008.2	0.1
28-04-2012	Sunspire Dune	33.3	1008.1	0.09
29-04-2012	Sunspire Dune	33.4	1008.1	0.09
30-04-2012	Sunspire Dune	33.6	1008.0	0.09
01-05-2012	Sunspire Dune	33.7	1008.0	0.08
02-05-2012	Sunspire Dune	33.8	1007.9	0.08
03-05-2012	Sunspire Dune	33.9	1007.9	0.08
04-05-2012	Sunspire Dune	34.0	1007.8	0.08
05-05-2012	Sunspire Dune	34.1	1007.8	0.09
06-05-2012	Sunspire Dune	34.2	1007.7	0.09
07-05-2012	Sunspire Dune	34.3	1007.7	0.09
08-05-2012	Sunspire Dune	34.4	1007.6	0.1
09-05-2012	Sunspire Dune	34.5	1007.6	0.1
10-05-2012	Sunspire Dune	34.6	1007.5	0.1
11-05-2012	Sunspire Dune	34.7	1007.5	0.1
12-05-2012	Sunspire Dune	34.8	1007.4	0.11
13-05-2012	Sunspire Dune	34.9	1007.4	0.11
14-05-2012	Sunspire Dune	35.0	1007.3	0.11
15-05-2012	Sunspire Dune	35.0	1007.3	0.11
16-05-2012	Sunspire Dune	35.1	1007.3	0.11
17-05-2012	Sunspire Dune	35.2	1007.2	0.12
18-05-2012	Sunspire Dune	35.3	1007.2	0.12
19-05-2012	Sunspire Dune	35.4	1007.1	0.12
20-05-2012	Sunspire Dune	35.5	1007.1	0.12
21-05-2012	Sunspire Dune	35.6	1007.1	0.12
22-05-2012	Sunspire Dune	35.7	1007.0	0.12
23-05-2012	Sunspire Dune	35.8	1007.0	0.12
24-05-2012	Sunspire Dune	35.9	1006.9	0.12
25-05-2012	Sunspire Dune	35.9	1006.9	0.12
26-05-2012	Sunspire Dune	36.0	1006.9	0.12
27-05-2012	Sunspire Dune	36.1	1006.8	0.12
28-05-2012	Sunspire Dune	36.2	1006.8	0.12
29-05-2012	Sunspire Dune	36.3	1006.8	0.12
30-05-2012	Sunspire Dune	36.4	1006.7	0.11
31-05-2012	Sunspire Dune	36.5	1006.7	0.11
01-06-2012	Sunspire Dune	36.6	1006.7	0.11
02-06-2012	Sunspire Dune	36.7	1006.6	0.11
03-06-2012	Sunspire Dune	36.7	1006.6	0.11
04-06-2012	Sunspire Dune	36.8	1006.6	0.1
05-06-2012	Sunspire Dune	36.9	1006.5	0.1
06-06-2012	Sunspire Dune	37.0	1006.5	0.1
07-06-2012	Sunspire Dune	37.1	1006.5	0.1
08-06-2012	Sunspire Dune	37.2	1006.5	0.09
09-06-2012	Sunspire Dune	37.3	1006.4	0.09
10-06-2012	Sunspire Dune	37.4	1006.4	0.09
11-06-2012	Sunspire Dune	37.5	1006.4	0.08
12-06-2012	Sunspire Dune	37.5	1006.4	0.08
13-06-2012	Sunspire Dune	37.6	1006.3	0.08
14-06-2012	Sunspire Dune	37.7	1006.3	0.09
15-06-2012	Sunspire Dune	37.8	1006.3	0.09
16-06-2012	Sunspire Dune	37.9	1006.3	0.09
17-06-2012	Sunspire Dune	38.0	1006.3	0.09
18-06-2012	Sunspire Dune	38.1	1006.2	0.1
19-06-2012	Sunspire Dune	38.1	1006.2	0.1
20-06-2012	Sunspire Dune	38.2	1006.2	0.1
21-06-2012	Sunspire Dune	38.3	1006.2	0.1
22-06-2012	Sunspire Dune	38.4	1006.2	0.11
23-06-2012	Sunspire Dune	38.5	1006.2	0.11
24-06-2012	Sunspire Dune	38.5	1006.1	0.11
25-06-2012	Sunspire Dune	38.6	1006.1	0.11
26-06-2012	Sunspire Dune	38.7	1006.1	0.11
27-06-2012	Sunspire Dune	38.8	1006.1	0.12
28-06-2012	Sunspire Dune	38.8	1006.1	0.12
29-06-2012	Sunspire Dune	38.9	1006.1	0.12
30-06-2012	Sunspire Dune	39.0	1006.1	0.12
01-07-2012	Sunspire Dune	39.0	1006.1	0.38
02-07-2012	Sunspire Dune	39.1	1006.1	0.39
03-07-2012	Sunspire Dune	39.2	1006.0	0.41
04-07-2012	Sunspire Dune	39.2	1006.0	0.44
05-07-2012	Sunspire Dune	39.3	1006.0	0.47
06-07-2012	Sunspire Dune	39.3	1006.0	0.51
07-07-2012	Sunspire Dune	39.4	1006.0	0.55
08-07-2012	Sunspire Dune	39.4	1006.0	0.59
09-07-2012	Sunspire Dune	39.5	1006.0	0.62
10-07-2012	Sunspire Dune	39.5	1006.0	0.66
11-07-2012	Sunspire Dune	39.6	1006.0	0.69
12-07-2012	Sunspire Dune	39.6	1006.0	0.72
13-07-2012	Sunspire Dune	39.6	1006.0	0.74
14-07-2012	Sunspire Dune	39.6	1006.0	0.75
15-07-2012	Sunspire Dune	39.7	1006.0	0.75
16-07-2012	Sunspire Dune	39.7	1006.0	0.75
17-07-2012	Sunspire Dune	39.7	1006.0	0.74
18-07-2012	Sunspire Dune	39.7	1006.0	0.72
19-07-2012	Sunspire Dune	39.7	1006.0	0.69
20-07-2012	Sunspire Dune	39.7	1006.0	0.66
21-07-2012	Sunspire Dune	39.7	1006.0	0.62
22-07-2012	Sunspire Dune	39.7	1006.0	0.58
23-07-2012	Sunspire Dune	39.6	1006.0	0.54
24-07-2012	Sunspire Dune	39.6	1006.1	0.5
25-07-2012	Sunspire Dune	39.6	1006.1	0.47
26-07-2012	Sunspire Dune	39.6	1006.1	0.43
27-07-2012	Sunspire Dune	39.5	1006.1	0.4
28-07-2012	Sunspire Dune	39.5	1006.1	0.38
29-07-2012	Sunspire Dune	39.4	1006.1	0.36
30-07-2012	Sunspire Dune	39.4	1006.1	0.35
31-07-2012	Sunspire Dune	39.3	1006.1	0.35
01-08-2012	Sunspire Dune	39.3	1006.1	0.36
02-08-2012	Sunspire Dune	39.2	1006.1	0.37
03-08-2012	Sunspire Dune	39.1	1006.1	0.39
04-08-2012	Sunspire Dune	39.0	1006.2	0.42
05-08-2012	Sunspire Dune	39.0	1006.2	0.45
06-08-2012	Sunspire Dune	38.9	1006.2	0.49
07-08-2012	Sunspire Dune	38.8	1006.2	0.53
08-08-2012	Sunspire Dune	38.7	1006.2	0.57
09-08-2012	Sunspire Dune	38.6	1006.2	0.61
10-08-2012	Sunspire Dune	38.5	1006.2	0.65
11-08-2012	Sunspire Dune	38.3	1006.2	0.69
12-08-2012	Sunspire Dune	38.2	1006.3	0.72
13-08-2012	Sunspire Dune	38.1	1006.3	0.74
14-08-2012	Sunspire Dune	38.0	1006.3	0.76
15-08-2012	Sunspire Dune	37.8	1006.3	0.77
16-08-2012	Sunspire Dune	37.7	1006.3	0.77
17-08-2012	Sunspire Dune	37.6	1006.3	0.76
18-08-2012	Sunspire Dune	37.4	1006.4	0.75
19-08-2012	Sunspire Dune	37.3	1006.4	0.72
20-08-2012	Sunspire Dune	37.1	1006.4	0.7
21-08-2012	Sunspire Dune	36.9	1006.4	0.66
22-08-2012	Sunspire Dune	36.8	1006.4	0.62
23-08-2012	Sunspire Dune	36.6	1006.4	0.58
24-08-2012	Sunspire Dune	36.4	1006.5	0.54
25-08-2012	Sunspire Dune	36.3	1006.5	0.5
26-08-2012	Sunspire Dune	36.1	1006.5	0.46
27-08-2012	Sunspire Dune	35.9	1006.5	0.42
28-08-2012	Sunspire Dune	35.7	1006.5	0.39
29-08-2012	Sunspire Dune	35.5	1006.6	0.37
30-08-2012	Sunspire Dune	35.4	1006.6	0.35
31-08-2012	Sunspire Dune	35.2	1006.6	0.34
01-09-2012	Sunspire Dune	35.0	1006.6	0.33
02-09-2012	Sunspire Dune	34.8	1006.6	0.34
03-09-2012	Sunspire Dune	34.6	1006.7	0.36
04-09-2012	Sunspire Dune	34.4	1006.7	0.38
05-09-2012	Sunspire Dune	34.2	1006.7	0.42
06-09-2012	Sunspire Dune	34.0	1006.7	0.45
07-09-2012	Sunspire Dune	33.8	1006.7	0.49
08-09-2012	Sunspire Dune	33.6	1006.8	0.53
09-09-2012	Sunspire Dune	33.4	1006.8	0.58
10-09-2012	Sunspire Dune	33.2	1006.8	0.62
11-09-2012	Sunspire Dune	33.0	1006.8	0.66
12-09-2012	Sunspire Dune	32.7	1006.8	0.69
13-09-2012	Sunspire Dune	32.5	1006.9	0.72
14-09-2012	Sunspire Dune	32.3	1006.9	0.74
15-09-2012	Sunspire Dune	32.1	1006.9	0.76
16-09-2012	Sunspire Dune	31.9	1006.9	0.77
17-09-2012	Sunspire Dune	31.7	1007.0	0.76
18-09-2012	Sunspire Dune	31.5	1007.0	0.75
19-09-2012	Sunspire Dune	31.3	1007.0	0.74
20-09-2012	Sunspire Dune	31.1	1007.0	0.71
21-09-2012	Sunspire Dune	30.9	1007.0	0.68
22-09-2012	Sunspire Dune	30.7	1007.1	0.65
23-09-2012	Sunspire Dune	30.5	1007.1	0.61
24-09-2012	Sunspire Dune	30.3	1007.1	0.57
25-09-2012	Sunspire Dune	30.1	1007.1	0.53
26-09-2012	Sunspire Dune	29.9	1007.2	0.49
27-09-2012	Sunspire Dune	29.7	1007.2	0.46
28-09-2012	Sunspire Dune	29.5	1007.2	0.42
29-09-2012	Sunspire Dune	29.3	1007.2	0.4
30-09-2012	Sunspire Dune	29.1	1007.2	0.38
01-10-2012	Sunspire Dune	28.9	1007.3	0.11
02-10-2012	Sunspire Dune	28.7	1007.3	0.11
03-10-2012	Sunspire Dune	28.5	1007.3	0.11
04-10-2012	Sunspire Dune	28.3	1007.3	0.11
05-10-2012	Sunspire Dune	28.2	1007.4	0.1
06-10-2012	Sunspire Dune	28.0	1007.4	0.1
07-10-2012	Sunspire Dune	27.8	1007.4	0.1
08-10-2012	Sunspire Dune	27.6	1007.4	0.09
09-10-2012	Sunspire Dune	27.4	1007.5	0.09
10-10-2012	Sunspire Dune	27.3	1007.5	0.09
11-10-2012	Sunspire Dune	27.1	1007.5	0.09
12-10-2012	Sunspire Dune	26.9	1007.5	0.08
13-10-2012	Sunspire Dune	26.7	1007.6	0.08
14-10-2012	Sunspire Dune	26.6	1007.6	0.08
15-10-2012	Sunspire Dune	26.4	1007.6	0.09
16-10-2012	Sunspire Dune	26.2	1007.6	0.09
17-10-2012	Sunspire Dune	26.1	1007.7	0.09
18-10-2012	Sunspire Dune	25.9	1007.7	0.1
19-10-2012	Sunspire Dune	25.8	1007.7	0.1
20-10-2012	Sunspire Dune	25.6	1007.7	0.1
21-10-2012	Sunspire Dune	25.4	1007.8	0.1
22-10-2012	Sunspire Dune	25.3	1007.8	0.11
23-10-2012	Sunspire Dune	25.1	1007.8	0.11
24-10-2012	Sunspire Dune	25.0	1007.8	0.11
25-10-2012	Sunspire Dune	24.8	1007.9	0.11
26-10-2012	Sunspire Dune	24.7	1007.9	0.11
27-10-2012	Sunspire Dune	24.5	1007.9	0.12
28-10-2012	Sunspire Dune	24.4	1008.0	0.12
29-10-2012	Sunspire Dune	24.2	1008.0	0.12
30-10-2012	Sunspire Dune	24.1	1008.0	0.12
31-10-2012	Sunspire Dune	24.0	1008.0	0.12
01-11-2012	Sunspire Dune	23.8	1008.1	0.12
02-11-2012	Sunspire Dune	23.7	1008.1	0.12
03-11-2012	Sunspire Dune	23.6	1008.1	0.12
04-11-2012	Sunspire Dune	23.4	1008.1	0.12
05-11-2012	Sunspire Dune	23.3	1008.2	0.12
06-11-2012	Sunspire Dune	23.2	1008.2	0.12
07-11-2012	Sunspire Dune	23.0	1008.2	0.12
08-11-2012	Sunspire Dune	22.9	1008.3	0.12
09-11-2012	Sunspire Dune	22.8	1008.3	0.11
10-11-2012	Sunspire Dune	22.6	1008.3	0.11
11-11-2012	Sunspire Dune	22.5	1008.3	0.11
12-11-2012	Sunspire Dune	22.4	1008.4	0.11
13-11-2012	Sunspire Dune	22.3	1008.4	0.11
14-11-2012	Sunspire Dune	22.2	1008.4	0.1
15-11-2012	Sunspire Dune	22.0	1008.5	0.1
16-11-2012	Sunspire Dune	21.9	1008.5	0.1
17-11-2012	Sunspire Dune	21.8	1008.5	0.1
18-11-2012	Sunspire Dune	21.7	1008.6	0.09
19-11-2012	Sunspire Dune	21.6	1008.6	0.09
20-11-2012	Sunspire Dune	21.5	1008.6	0.09
21-11-2012	Sunspire Dune	21.4	1008.7	0.09
22-11-2012	Sunspire Dune	21.3	1008.7	0.08
23-11-2012	Sunspire Dune	21.1	1008.7	0.08
24-11-2012	Sunspire Dune	21.0	1008.7	0.08
25-11-2012	Sunspire Dune	20.9	1008.8	0.09
26-11-2012	Sunspire Dune	20.8	1008.8	0.09
27-11-2012	Sunspire Dune	20.7	1008.8	0.09
28-11-2012	Sunspire Dune	20.6	1008.9	0.1
29-11-2012	Sunspire Dune	20.6	1008.9	0.1
30-11-2012	Sunspire Dune	20.5	1008.9	0.1
01-12-2012	Sunspire Dune	20.4	1009.0	0.1
02-12-2012	Sunspire Dune	20.3	1009.0	0.11
03-12-2012	Sunspire Dune	20.2	1009.0	0.11
04-12-2012	Sunspire Dune	20.1	1009.1	0.11
05-12-2012	Sunspire Dune	20.0	1009.1	0.11
06-12-2012	Sunspire Dune	20.0	1009.1	0.11
07-12-2012	Sunspire Dune	19.9	1009.2	0.12
08-12-2012	Sunspire Dune	19.8	1009.2	0.12
09-12-2012	Sunspire Dune	19.8	1009.2	0.12
10-12-2012	Sunspire Dune	19.7	1009.3	0.12
11-12-2012	Sunspire Dune	19.6	1009.3	0.12
12-12-2012	Sunspire Dune	19.6	1009.3	0.12
13-12-2012	Sunspire Dune	19.5	1009.3	0.12
14-12-2012	Sunspire Dune	19.5	1009.4	0.12
15-12-2012	Sunspire Dune	19.4	1009.4	0.12
16-12-2012	Sunspire Dune	19.4	1009.4	0.12
17-12-2012	Sunspire Dune	19.3	1009.5	0.12
18-12-2012	Sunspire Dune	19.3	1009.5	0.12
19-12-2012	Sunspire Dune	19.3	1009.5	0.12
20-12-2012	Sunspire Dune	19.2	1009.6	0.11
21-12-2012	Sunspire Dune	19.2	1009.6	0.11
22-12-2012	Sunspire Dune	19.2	1009.6	0.11
23-12-2012	Sunspire Dune	19.2	1009.7	0.11
24-12-2012	Sunspire Dune	19.2	1009.7	0.11
25-12-2012	Sunspire Dune	19.1	1009.7	0.1
26-12-2012	Sunspire Dune	19.1	1009.8	0.1
27-12-2012	Sunspire Dune	19.1	1009.8	0.1
28-12-2012	Sunspire Dune	19.1	1009.8	0.1
29-12-2012	Sunspire Dune	19.2	1009.8	0.09
30-12-2012	Sunspire Dune	19.2	1009.9	0.09
31-12-2012	Sunspire Dune	19.2	1009.9	0.09
01-01-2013	Sunspire Dune	19.2	1009.9	0.08
02-01-2013	Sunspire Dune	19.3	1009.9	0.08
03-01-2013	Sunspire Dune	19.3	1010.0	0.08
04-01-2013	Sunspire Dune	19.3	1010.0	0.08
05-01-2013	Sunspire Dune	19.4	1010.0	0.09
06-01-2013	Sunspire Dune	19.4	1010.1	0.09
07-01-2013	Sunspire Dune	19.5	1010.1	0.09
08-01-2013	Sunspire Dune	19.5	1010.1	0.1
09-01-2013	Sunspire Dune	19.6	1010.1	0.1
10-01-2013	Sunspire Dune	19.6	1010.2	0.1
11-01-2013	Sunspire Dune	19.7	1010.2	0.1
12-01-2013	Sunspire Dune	19.7	1010.2	0.11
13-01-2013	Sunspire Dune	19.8	1010.2	0.11
14-01-2013	Sunspire Dune	19.9	1010.3	0.11
15-01-2013	Sunspire Dune	20.0	1010.3	0.11
16-01-2013	Sunspire Dune	20.0	1010.3	0.11
17-01-2013	Sunspire Dune	20.1	1010.3	0.12
18-01-2013	Sunspire Dune	20.2	1010.4	0.12
19-01-2013	Sunspire Dune	20.3	1010.4	0.12
20-01-2013	Sunspire Dune	20.4	1010.4	0.12
21-01-2013	Sunspire Dune	20.5	1010.4	0.12
22-01-2013	Sunspire Dune	20.6	1010.4	0.12
23-01-2013	Sunspire Dune	20.7	1010.5	0.12
24-01-2013	Sunspire Dune	20.8	1010.5	0.12
25-01-2013	Sunspire Dune	20.9	1010.5	0.12
26-01-2013	Sunspire Dune	21.1	1010.5	0.12
27-01-2013	Sunspire Dune	21.2	1010.5	0.12
28-01-2013	Sunspire Dune	21.3	1010.5	0.12
29-01-2013	Sunspire Dune	21.4	1010.6	0.12
30-01-2013	Sunspire Dune	21.5	1010.6	0.11
31-01-2013	Sunspire Dune	21.7	1010.6	0.11
01-02-2013	Sunspire Dune	21.8	1010.6	0.11
02-02-2013	Sunspire Dune	21.9	1010.6	0.11
03-02-2013	Sunspire Dune	22.1	1010.6	0.11
04-02-2013	Sunspire Dune	22.2	1010.6	0.1
05-02-2013	Sunspire Dune	22.3	1010.6	0.1
06-02-2013	Sunspire Dune	22.5	1010.6	0.1
07-02-2013	Sunspire Dune	22.6	1010.7	0.1
08-02-2013	Sunspire Dune	22.7	1010.7	0.09
09-02-2013	Sunspire Dune	22.9	1010.7	0.09
10-02-2013	Sunspire Dune	23.0	1010.7	0.09
11-02-2013	Sunspire Dune	23.2	1010.7	0.08
12-02-2013	Sunspire Dune	23.3	1010.7	0.08
13-02-2013	Sunspire Dune	23.4	1010.7	0.08
14-02-2013	Sunspire Dune	23.6	1010.7	0.08
15-02-2013	Sunspire Dune	23.7	1010.7	0.09
16-02-2013	Sunspire Dune	23.9	1010.7	0.09
17-02-2013	Sunspire Dune	24.0	1010.7	0.09
18-02-2013	Sunspire Dune	24.1	1010.7	0.1
19-02-2013	Sunspire Dune	24.3	1010.7	0.1
20-02-2013	Sunspire Dune	24.4	1010.7	0.1
21-02-2013	Sunspire Dune	24.6	1010.7	0.1
22-02-2013	Sunspire Dune	24.7	1010.7	0.11
23-02-2013	Sunspire Dune	24.8	1010.7	0.11
24-02-2013	Sunspire Dune	25.0	1010.6	0.11
25-02-2013	Sunspire Dune	25.1	1010.6	0.11
26-02-2013	Sunspire Dune	25.2	1010.6	0.11
27-02-2013	Sunspire Dune	25.4	1010.6	0.12
28-02-2013	Sunspire Dune	25.5	1010.6	0.12
01-03-2013	Sunspire Dune	25.6	1010.6	0.12
02-03-2013	Sunspire Dune	25.8	1010.6	0.12
03-03-2013	Sunspire Dune	25.9	1010.6	0.12
04-03-2013	Sunspire Dune	26.0	1010.5	0.12
05-03-2013	Sunspire Dune	26.1	1010.5	0.12
06-03-2013	Sunspire Dune	26.3	1010.5	0.12
07-03-2013	Sunspire Dune	26.4	1010.5	0.12
08-03-2013	Sunspire Dune	26.5	1010.5	0.12
09-03-2013	Sunspire Dune	26.6	1010.5	0.12
10-03-2013	Sunspire Dune	26.8	1010.4	0.12
11-03-2013	Sunspire Dune	26.9	1010.4	0.12
12-03-2013	Sunspire Dune	27.0	1010.4	0.11
13-03-2013	Sunspire Dune	27.1	1010.4	0.11
14-03-2013	Sunspire Dune	27.2	1010.3	0.11
15-03-2013	Sunspire Dune	27.3	1010.3	0.11
16-03-2013	Sunspire Dune	27.4	1010.3	0.11
17-03-2013	Sunspire Dune	27.6	1010.3	0.1
18-03-2013	Sunspire Dune	27.7	1010.2	0.1
19-03-2013	Sunspire Dune	27.8	1010.2	0.1
20-03-2013	Sunspire Dune	27.9	1010.2	0.1
21-03-2013	Sunspire Dune	28.0	1010.1	0.09
22-03-2013	Sunspire Dune	28.1	1010.1	0.09
23-03-2013	Sunspire Dune	28.2	1010.1	0.09
24-03-2013	Sunspire Dune	28.3	1010.0	0.08
25-03-2013	Sunspire Dune	28.4	1010.0	0.08
26-03-2013	Sunspire Dune	28.5	1010.0	0.08
27-03-2013	Sunspire Dune	28.6	1009.9	0.09
28-03-2013	Sunspire Dune	28.7	1009.9	0.09
29-03-2013	Sunspire Dune	28.8	1009.9	0.09
30-03-2013	Sunspire Dune	28.9	1009.8	0.09
31-03-2013	Sunspire Dune	29.0	1009.8	0.1
01-04-2013	Sunspire Dune	29.1	1009.7	0.1
02-04-2013	Sunspire Dune	29.2	1009.7	0.1
03-04-2013	Sunspire Dune	29.4	1009.6	0.1
04-04-2013	Sunspire Dune	29.5	1009.6	0.11
05-04-2013	Sunspire Dune	29.6	1009.6	0.11
06-04-2013	Sunspire Dune	29.7	1009.5	0.11
07-04-2013	Sunspire Dune	29.8	1009.5	0.11
08-04-2013	Sunspire Dune	29.9	1009.4	0.11
09-04-2013	Sunspire Dune	30.0	1009.4	0.12
10-04-2013	Sunspire Dune	30.1	1009.3	0.12
11-04-2013	Sunspire Dune	30.2	1009.3	0.12
12-04-2013	Sunspire Dune	30.3	1009.2	0.12
13-04-2013	Sunspire Dune	30.4	1009.2	0.12
14-04-2013	Sunspire Dune	30.6	1009.1	0.12
15-04-2013	Sunspire Dune	30.7	1009.1	0.12
16-04-2013	Sunspire Dune	30.8	1009.1	0.12
17-04-2013	Sunspire Dune	30.9	1009.0	0.12
18-04-2013	Sunspire Dune	31.0	1009.0	0.12
19-04-2013	Sunspire Dune	31.2	1008.9	0.12
20-04-2013	Sunspire Dune	31.3	1008.9	0.12
21-04-2013	Sunspire Dune	31.4	1008.8	0.12
22-04-2013	Sunspire Dune	31.5	1008.7	0.11
23-04-2013	Sunspire Dune	31.7	1008.7	0.11
24-04-2013	Sunspire Dune	31.8	1008.6	0.11
