paper_id,title,year,field,citations,authors,journal_impact,country,open_access
P0046,Advances in Biology 40,2022,Biology,21.0,1,5.22,Japan,False
P0047,Empirical Analysis of Biology 5,2023,Biology,7.0,1,1.92,Australia,True
P0048,Challenges in Sociology 94,2018,Sociology,14.0,10,6.96,USA,True
P0049,Impact of Computer Science on Society 12,2019,Computer Science,,9,4.97,Brazil,False
P0050,A Study of Physics Trends 42,2010,Physics,4.0,2,6.38,UK,False
P0051,A Review of Physics Literature 23,2012,Physics,69.0,9,9.17,USA,False
P0052,New Methods in Economics 17,2013,Economics,29.0,1,10.44,Brazil,False
P0053,Experimental Physics 47,2023,Physics,56.0,7,9.15,UK,False
P0054,Experimental Computer Science 65,2013,Computer Science,45.0,4,12.39,Brazil,False
P0055,A Study of Sociology Trends 22,2023,Sociology,18.0,6,5.25,Canada,False
P0056,A Study of Computer Science Trends 62,2010,Computer Science,50.0,7,9.85,Canada,False
P0057,A Study of Medicine Trends 96,2013,Medicine,1.0,6,1.39,UK,True
P0058,Challenges in Computer Science 15,2010,Computer Science,4.0,2,,India,False
P0059,Empirical Analysis of Sociology 10,2017,Sociology,0.0,3,,Australia,True
P0060,Impact of Physics on Society 97,2010,Physics,7.0,7,8.92,Japan,False
P0061,New Methods in Chemistry 87,2015,Chemistry,9.0,10,11.45,France,True
P0062,A Review of Economics Literature 72,2021,Economics,6.0,5,12.24,Japan,True
P0063,Challenges in Medicine 12,2013,Medicine,35.0,5,11.48,Australia,True
P0064,A Review of Physics Literature 2,2014,Physics,8.0,9,10.08,UK,True
P0065,A Study of Economics Trends 69,2015,Economics,6.0,7,7.07,Brazil,True
P0066,The Future of Physics 59,2023,Physics,15.0,10,4.73,USA,False
P0067,Challenges in Medicine 87,2017,Medicine,3.0,6,,UK,False
P0068,A Study of Computer Science Trends 75,2018,Computer Science,32.0,10,6.98,India,False
P0069,A Review of Sociology Literature 82,2016,Sociology,1.0,5,3.48,Germany,False
P0070,Challenges in Chemistry 14,2020,Chemistry,86.0,7,13.22,Germany,False
P0071,New Methods in Medicine 61,2011,Medicine,29.0,4,4.85,Canada,False
P0072,Advances in Sociology 80,2020,Sociology,4.0,7,12.02,USA,False
P0073,Experimental Computer Science 42,2010,Computer Science,0.0,9,10.35,UK,False
P0074,New Methods in Medicine 83,2013,Medicine,33.0,9,13.82,Canada,False
P0075,The Future of Biology 82,2015,Biology,24.0,8,14.08,Japan,True
P0076,Empirical Analysis of Chemistry 90,2017,Chemistry,26.0,3,10.91,France,False
P0077,A Study of Physics Trends 84,2019,Physics,,6,13.77,Australia,True
P0078,A Review of Physics Literature 15,2017,Physics,1.0,9,14.86,India,True
P0079,Impact of Chemistry on Society 6,2012,Chemistry,8.0,9,8.95,India,False
P0080,Advances in Biology 39,2023,Biology,2.0,8,9.37,Australia,True
P0081,Empirical Analysis of Sociology 15,2017,Sociology,39.0,5,7.9,Japan,True
P0082,The Future of Computer Science 31,2019,Computer Science,19.0,5,12.79,France,False
P0083,Experimental Physics 18,2018,Physics,8.0,10,12.86,Germany,False
P0084,A Review of Sociology Literature 59,2015,Sociology,1.0,6,1.4,China,False
P0085,Challenges in Biology 86,2015,Biology,7.0,7,13.57,Germany,False
P0086,Experimental Sociology 54,2012,Sociology,7.0,3,14.53,UK,False
P0087,Impact of Physics on Society 54,2023,Physics,26.0,2,0.51,Australia,True
P0088,The Future of Economics 63,2014,Economics,20.0,4,,Japan,False
P0089,A Review of Computer Science Literature 36,2021,Computer Science,43.0,8,14.69,UK,False
P0090,Advances in Economics 89,2023,Economics,12.0,3,2.09,Canada,True
P0091,Challenges in Chemistry 28,2021,Chemistry,2.0,2,4.59,Brazil,True
P0092,Empirical Analysis of Sociology 57,2011,Sociology,24.0,4,0.95,USA,False
P0093,New Methods in Computer Science 47,2014,Computer Science,28.0,9,6.76,USA,True
P0094,The Future of Biology 88,2010,Biology,16.0,7,9.06,Canada,False
P0095,Challenges in Computer Science 70,2016,Computer Science,29.0,6,9.57,UK,True
P0096,Challenges in Computer Science 8,2010,Computer Science,13.0,9,10.82,USA,True
P0097,A Review of Biology Literature 36,2012,Biology,14.0,10,6.39,Germany,False
P0098,New Methods in Chemistry 16,2023,Chemistry,11.0,1,6.81,India,False
P0099,Empirical Analysis of Computer Science 12,2019,Computer Science,0.0,3,,India,True
P0100,New Methods in Chemistry 83,2022,Chemistry,2.0,7,3.01,Canada,False
P0101,Advances in Chemistry 7,2013,Chemistry,0.0,1,2.52,Australia,True
P0102,Challenges in Chemistry 32,2023,Chemistry,20.0,2,8.55,India,True
P0103,Impact of Physics on Society 73,2013,Physics,7.0,3,12.73,Japan,True
P0104,New Methods in Medicine 9,2020,Medicine,14.0,8,5.72,Australia,True
P0105,Experimental Chemistry 27,2013,Chemistry,47.0,10,6.55,Australia,True
P0106,New Methods in Biology 30,2020,Biology,5.0,7,4.68,France,False
P0107,Challenges in Medicine 100,2013,Medicine,10.0,2,13.15,Canada,False
P0108,Impact of Chemistry on Society 77,2014,Chemistry,28.0,2,,Japan,True
P0109,Advances in Biology 36,2020,Biology,5.0,5,0.67,UK,True
P0110,Impact of Biology on Society 17,2016,Biology,1.0,4,9.9,Germany,False
P0111,Experimental Economics 33,2018,Economics,6.0,6,2.59,Germany,True
P0112,Impact of Economics on Society 15,2010,Economics,3.0,2,13.33,USA,False
P0113,Advances in Computer Science 17,2023,Computer Science,53.0,10,10.04,China,False
P0114,Advances in Chemistry 46,2022,Chemistry,33.0,1,14.64,UK,False
P0115,New Methods in Chemistry 76,2022,Chemistry,20.0,7,2.47,USA,False
P0116,Challenges in Medicine 3,2020,Medicine,41.0,7,2.49,China,False
P0117,Impact of Biology on Society 34,2010,Biology,32.0,10,12.19,USA,False
P0118,Advances in Chemistry 17,2017,Chemistry,4.0,9,,China,True
P0119,A Review of Computer Science Literature 68,2012,Computer Science,44.0,5,13.46,India,True
P0120,The Future of Sociology 96,2020,Sociology,15.0,10,10.58,Germany,False
P0121,The Future of Sociology 61,2012,Sociology,32.0,1,13.99,China,True
P0122,Empirical Analysis of Sociology 100,2019,Sociology,45.0,3,9.54,Canada,False
P0123,Challenges in Physics 66,2022,Physics,7.0,8,,Brazil,True
P0124,The Future of Biology 58,2010,Biology,2.0,8,6.65,China,False
P0125,Experimental Sociology 29,2013,Sociology,5.0,1,12.39,UK,False
P0126,Advances in Physics 94,2014,Physics,11.0,4,6.08,Japan,True
P0127,Experimental Sociology 39,2019,Sociology,34.0,9,3.77,India,True
P0128,Empirical Analysis of Computer Science 83,2022,Computer Science,39.0,5,6.66,Germany,False
P0129,Advances in Economics 8,2014,Economics,0.0,4,0.61,India,True
P0130,Empirical Analysis of Computer Science 52,2021,Computer Science,14.0,1,7.72,Canada,True
P0131,A Review of Physics Literature 88,2021,Physics,10.0,10,11.1,USA,True
P0132,The Future of Biology 63,2020,Biology,5.0,9,10.83,UK,False
P0133,Empirical Analysis of Medicine 10,2014,Medicine,2.0,9,4.4,Germany,False
P0134,The Future of Chemistry 42,2016,Chemistry,8.0,4,13.94,Germany,False
P0135,Impact of Computer Science on Society 9,2016,Computer Science,57.0,10,8.86,India,False
P0136,Impact of Biology on Society 36,2023,Biology,7.0,3,0.99,India,True
P0137,Experimental Chemistry 92,2015,Chemistry,14.0,1,1.05,India,True
P0138,Challenges in Economics 49,2017,Economics,24.0,6,7.51,USA,False
P0139,Experimental Economics 38,2014,Economics,9.0,4,5.84,India,True
P0140,Empirical Analysis of Chemistry 65,2013,Chemistry,71.0,1,,Australia,True
P0141,A Review of Economics Literature 13,2017,Economics,65.0,3,14.45,China,True
P0142,The Future of Biology 84,2014,Biology,5.0,2,1.66,China,False
P0143,Experimental Computer Science 93,2020,Computer Science,13.0,5,11.09,Japan,True
P0144,New Methods in Biology 56,2018,Biology,7.0,7,8.13,Australia,True
P0145,Empirical Analysis of Biology 30,2023,Biology,6.0,6,12.96,Canada,False
P0146,A Review of Chemistry Literature 44,2019,Chemistry,0.0,7,11.38,USA,True
P0147,Empirical Analysis of Medicine 52,2016,Medicine,18.0,7,4.55,France,True
P0148,A Review of Medicine Literature 94,2019,Medicine,13.0,10,8.0,USA,True
P0149,The Future of Computer Science 41,2011,Computer Science,1.0,4,8.09,UK,True
P0150,A Review of Chemistry Literature 41,2010,Chemistry,6.0,9,9.35,Canada,True
P0151,A Study of Medicine Trends 48,2018,Medicine,,1,4.06,Canada,True
P0152,Impact of Economics on Society 88,2020,Economics,5.0,2,9.64,India,False
P0153,Empirical Analysis of Medicine 9,2023,Medicine,3.0,2,10.12,Australia,False
P0154,The Future of Economics 11,2023,Economics,13.0,9,10.2,Australia,False
P0155,The Future of Computer Science 56,2015,Computer Science,84.0,5,10.42,Brazil,True
P0156,The Future of Biology 96,2018,Biology,5.0,9,8.32,Japan,True
P0157,Challenges in Biology 17,2020,Biology,22.0,10,8.9,USA,True
P0158,Experimental Medicine 8,2019,Medicine,28.0,6,,India,False
P0159,Experimental Economics 72,2019,Economics,5.0,6,13.6,Canada,True
P0160,Challenges in Physics 86,2014,Physics,26.0,5,8.26,India,False
P0161,The Future of Sociology 53,2014,Sociology,9.0,4,0.66,Brazil,True
P0162,Challenges in Physics 86,2020,Physics,20.0,10,,Australia,False
P0163,A Review of Sociology Literature 93,2011,Sociology,20.0,4,13.64,Australia,True
P0164,Advances in Physics 37,2017,Physics,15.0,8,8.82,India,False
P0165,A Study of Biology Trends 46,2011,Biology,1.0,7,,China,True
P0166,The Future of Chemistry 74,2015,Chemistry,36.0,10,5.62,USA,True
P0167,Experimental Biology 28,2014,Biology,7.0,1,14.68,Brazil,False
P0168,Impact of Sociology on Society 85,2020,Sociology,4.0,5,4.77,USA,False
P0169,Empirical Analysis of Chemistry 29,2015,Chemistry,0.0,3,2.93,Canada,True
P0170,The Future of Economics 45,2023,Economics,17.0,7,10.58,Australia,True
P0171,Experimental Medicine 48,2014,Medicine,22.0,9,9.17,France,True
P0172,The Future of Physics 98,2014,Physics,0.0,2,4.91,Brazil,False
P0173,A Study of Economics Trends 74,2020,Economics,14.0,9,11.88,UK,True
P0174,New Methods in Economics 55,2021,Economics,5.0,2,4.28,Japan,True
P0175,Experimental Medicine 99,2020,Medicine,20.0,9,,Canada,True
P0176,Experimental Economics 4,2014,Economics,3.0,5,8.88,India,True
P0177,A Study of Medicine Trends 4,2013,Medicine,23.0,6,8.81,UK,True
P0178,Impact of Computer Science on Society 35,2012,Computer Science,9.0,2,10.02,India,False
P0179,A Study of Medicine Trends 44,2018,Medicine,55.0,9,4.73,Australia,False
P0180,Challenges in Sociology 1,2022,Sociology,2.0,5,11.19,France,False
P0181,Impact of Physics on Society 19,2013,Physics,8.0,9,0.9,India,False
P0182,A Review of Chemistry Literature 9,2010,Chemistry,2.0,10,7.53,Canada,False
P0183,Impact of Chemistry on Society 95,2022,Chemistry,51.0,5,2.34,USA,False
P0184,Advances in Physics 12,2023,Physics,41.0,8,1.61,Germany,False
P0185,Experimental Chemistry 28,2022,Chemistry,5.0,7,11.86,Japan,False
P0186,A Review of Medicine Literature 54,2022,Medicine,21.0,10,4.15,China,False
P0187,Empirical Analysis of Sociology 44,2019,Sociology,33.0,8,9.43,India,False
P0188,Impact of Computer Science on Society 48,2016,Computer Science,16.0,4,4.49,France,True
P0189,A Study of Sociology Trends 93,2020,Sociology,11000.0,6,4.23,India,False
P0190,Challenges in Chemistry 100,2015,Chemistry,5.0,8,11.25,China,False
P0191,The Future of Computer Science 7,2020,Computer Science,1.0,8,9.26,Brazil,False
P0192,Impact of Physics on Society 21,2012,Physics,45.0,10,13.7,China,True
P0193,Advances in Computer Science 87,2021,Computer Science,46.0,1,11.22,Australia,False
P0194,The Future of Economics 35,2010,Economics,20.0,8,10.06,France,False
P0195,Empirical Analysis of Biology 85,2020,Biology,8.0,2,5.86,Australia,True
P0196,A Review of Economics Literature 63,2017,Economics,8.0,5,3.04,India,True
P0197,Empirical Analysis of Physics 54,2014,Physics,,2,11.85,Germany,False
P0198,A Study of Chemistry Trends 28,2014,Chemistry,45.0,7,3.92,Japan,False
P0199,Experimental Chemistry 15,2016,Chemistry,43.0,4,3.12,Canada,True
P0200,Challenges in Computer Science 56,2016,Computer Science,30.0,4,8.15,Canada,True
P0201,The Future of Medicine 37,2016,Medicine,20.0,6,0.98,France,True
P0202,Empirical Analysis of Sociology 68,2021,Sociology,1.0,7,14.77,India,False
P0203,A Study of Biology Trends 6,2010,Biology,3.0,6,14.53,Germany,True
P0204,New Methods in Medicine 51,2019,Medicine,45.0,9,9.14,Australia,False
P0205,Advances in Physics 1,2021,Physics,18.0,9,12.41,China,False
P0206,New Methods in Sociology 39,2019,Sociology,0.0,1,12.65,Japan,False
P0207,New Methods in Chemistry 99,2023,Chemistry,2.0,5,11.42,UK,False
P0208,Impact of Computer Science on Society 98,2013,Computer Science,21.0,4,6.49,India,True
P0209,A Study of Sociology Trends 38,2015,Sociology,0.0,5,6.06,Germany,True
P0210,Challenges in Chemistry 16,2021,Chemistry,3.0,2,10.08,Germany,False
P0211,Advances in Medicine 64,2021,Medicine,15.0,7,11.03,China,True
P0212,A Review of Medicine Literature 23,2013,Medicine,23.0,6,2.93,Germany,False
P0213,Impact of Biology on Society 49,2020,Biology,21.0,2,8.88,Australia,True
P0214,Experimental Biology 91,2018,Biology,5.0,9,12.71,India,False
P0215,New Methods in Computer Science 65,2020,Computer Science,24.0,3,1.29,UK,False
P0216,Experimental Sociology 86,2022,Sociology,5.0,8,4.33,Canada,True
P0217,Challenges in Biology 10,2017,Biology,7.0,6,12.38,India,False
P0218,A Review of Medicine Literature 95,2020,Medicine,27.0,6,,Japan,False
P0219,Advances in Sociology 56,2015,Sociology,20.0,4,7.23,China,True
P0220,Advances in Medicine 59,2018,Medicine,37.0,10,7.41,China,False
P0221,The Future of Physics 41,2014,Physics,21.0,5,7.41,Brazil,False
P0222,A Review of Medicine Literature 74,2023,Medicine,16.0,3,14.25,USA,False
P0223,A Review of Computer Science Literature 91,2012,Computer Science,1.0,4,13.88,USA,True
P0224,A Review of Economics Literature 38,2023,Economics,9.0,8,,France,False
P0225,The Future of Physics 52,2020,Physics,6.0,4,10.41,Japan,False
P0226,Advances in Physics 42,2018,Physics,5.0,4,6.16,France,True
P0227,Impact of Computer Science on Society 80,2012,Computer Science,72.0,4,4.31,Germany,True
P0228,Empirical Analysis of Sociology 89,2014,Sociology,9.0,5,8.19,Germany,True
P0229,Challenges in Sociology 12,2011,Sociology,44.0,4,6.8,Brazil,True
P0230,A Review of Computer Science Literature 14,2017,Computer Science,19.0,4,4.69,USA,False
P0231,New Methods in Biology 56,2012,Biology,31.0,4,12.06,UK,True
P0232,A Review of Physics Literature 68,2021,Physics,13.0,4,6.04,France,False
P0233,The Future of Biology 51,2014,Biology,17.0,10,5.08,Canada,False
P0234,A Study of Medicine Trends 96,2021,Medicine,13.0,6,,UK,True
P0235,Challenges in Physics 29,2022,Physics,4.0,3,14.36,Australia,False
P0236,Challenges in Physics 100,2018,Physics,25.0,2,1.91,China,True
P0237,Impact of Chemistry on Society 10,2022,Chemistry,6.0,2,8.2,UK,False
P0238,Experimental Economics 82,2012,Economics,0.0,2,5.63,Brazil,True
P0239,The Future of Sociology 68,2020,Sociology,20.0,8,12.74,China,True
P0240,Experimental Physics 25,2015,Physics,3.0,10,9.35,India,True
P0241,Challenges in Sociology 45,2020,Sociology,56.0,1,9.95,Japan,True
P0242,Impact of Medicine on Society 31,2011,Medicine,61.0,9,4.45,France,True
P0243,The Future of Sociology 19,2013,Sociology,49.0,1,4.42,France,True
P0244,A Study of Biology Trends 26,2015,Biology,,8,12.13,USA,False
P0245,Impact of Biology on Society 78,2013,Biology,0.0,6,4.2,Brazil,True
P0246,Impact of Chemistry on Society 98,2021,Chemistry,52.0,10,8.97,Japan,True
P0247,The Future of Economics 23,2023,Economics,,6,7.19,Germany,False
P0248,Empirical Analysis of Medicine 60,2014,Medicine,68.0,8,10.29,Brazil,False
P0249,Empirical Analysis of Biology 88,2016,Biology,66.0,10,4.01,Australia,False
P0250,Challenges in Computer Science 81,2022,Computer Science,38.0,5,10.24,UK,True
P0251,Challenges in Medicine 20,2015,Medicine,6.0,8,11.67,USA,False
P0252,Empirical Analysis of Sociology 9,2015,Sociology,9.0,3,8.04,India,False
P0253,Empirical Analysis of Medicine 57,2014,Medicine,,9,10.33,India,True
P0254,A Study of Economics Trends 36,2019,Economics,7.0,5,14.9,UK,True
P0255,Advances in Biology 46,2014,Biology,3.0,7,5.04,UK,False
P0256,Experimental Medicine 10,2017,Medicine,16.0,4,0.65,Australia,True
P0257,A Study of Sociology Trends 60,2023,Sociology,55.0,10,0.62,Australia,False
P0258,Empirical Analysis of Chemistry 5,2011,Chemistry,23.0,3,1.49,UK,True
P0259,Advances in Chemistry 48,2017,Chemistry,16.0,1,6.46,Brazil,True
P0260,A Study of Biology Trends 10,2010,Biology,2.0,9,8.12,USA,False
P0261,The Future of Chemistry 79,2023,Chemistry,19.0,7,10.44,Brazil,False
P0262,Experimental Computer Science 50,2020,Computer Science,92.0,8,5.6,UK,False
P0263,Empirical Analysis of Economics 75,2019,Economics,3.0,9,11.02,Germany,False
P0264,Experimental Chemistry 95,2019,Chemistry,14.0,1,,UK,True
P0265,Advances in Chemistry 58,2019,Chemistry,41.0,9,0.99,China,True
P0266,New Methods in Computer Science 42,2011,Computer Science,27.0,6,,France,False
P0267,Empirical Analysis of Economics 65,2017,Economics,23.0,7,1.32,Germany,True
P0268,Impact of Medicine on Society 8,2013,Medicine,24.0,3,9.12,Japan,False
P0269,Empirical Analysis of Economics 14,2018,Economics,8.0,8,13.46,India,True
P0270,Challenges in Physics 92,2011,Physics,6.0,2,3.64,Brazil,True
P0271,The Future of Biology 65,2023,Biology,33.0,9,9.19,India,True
P0272,Impact of Biology on Society 6,2020,Biology,33.0,8,,UK,False
P0273,New Methods in Physics 91,2016,Physics,40.0,6,14.39,Germany,True
P0274,Empirical Analysis of Computer Science 57,2018,Computer Science,48.0,1,1.75,France,True
P0275,Experimental Physics 67,2014,Physics,14.0,1,9.27,France,False
P0276,Impact of Medicine on Society 47,2016,Medicine,13.0,4,5.95,Germany,True
P0277,Challenges in Medicine 37,2010,Medicine,32.0,7,11.58,UK,False
P0278,A Review of Biology Literature 53,2023,Biology,20.0,10,9.89,China,False
P0279,Challenges in Medicine 87,2023,Medicine,24.0,2,12.15,India,True
P0280,Advances in Biology 81,2012,Biology,31.0,6,3.18,Canada,False
P0281,Challenges in Physics 9,2012,Physics,,6,2.11,USA,True
P0282,Challenges in Physics 13,2013,Physics,8.0,10,3.17,China,True
P0283,Experimental Chemistry 87,2015,Chemistry,9.0,5,4.77,India,False
P0284,A Review of Chemistry Literature 37,2016,Chemistry,1.0,3,10.08,France,False
P0285,A Study of Physics Trends 93,2019,Physics,17.0,9,1.6,Japan,False
P0286,Impact of Biology on Society 43,2017,Biology,0.0,5,,Brazil,False
P0287,The Future of Physics 75,2012,Physics,12.0,4,14.93,Germany,True
P0288,Impact of Physics on Society 45,2015,Physics,15.0,5,11.66,UK,True
P0289,A Study of Sociology Trends 84,2023,Sociology,6.0,8,10.54,Japan,True
P0290,A Review of Computer Science Literature 17,2021,Computer Science,17.0,10,10.18,France,False
P0291,The Future of Physics 40,2012,Physics,0.0,6,,Canada,True
P0292,Experimental Medicine 49,2022,Medicine,0.0,6,4.23,France,False
P0293,Challenges in Biology 17,2011,Biology,34.0,3,11.82,China,False
P0294,Experimental Computer Science 12,2017,Computer Science,8.0,8,4.52,Germany,True
P0295,A Review of Chemistry Literature 66,2015,Chemistry,,7,1.4,Brazil,False
P0296,Challenges in Economics 3,2020,Economics,14.0,4,,Canada,True
P0297,Challenges in Biology 40,2012,Biology,29.0,7,14.94,China,False
P0298,Impact of Medicine on Society 28,2015,Medicine,4.0,6,,Germany,False
P0299,Challenges in Biology 99,2020,Biology,19.0,6,12.29,Canada,True
P0300,Empirical Analysis of Chemistry 25,2010,Chemistry,,7,3.08,Canada,False
P0301,New Methods in Medicine 18,2010,Medicine,1.0,5,1.51,Canada,True
P0302,Impact of Medicine on Society 10,2017,Medicine,15.0,8,14.7,India,True
P0303,A Study of Economics Trends 13,2014,Economics,15.0,3,3.41,Brazil,False
P0304,Experimental Biology 99,2013,Biology,20.0,10,6.19,France,False
P0305,Experimental Sociology 95,2022,Sociology,25.0,3,9.86,USA,True
P0306,Experimental Economics 5,2022,Economics,74.0,10,2.07,India,False
P0307,Challenges in Sociology 99,2012,Sociology,14.0,4,8.34,Germany,False
P0308,Impact of Economics on Society 77,2019,Economics,7.0,2,,USA,True
P0309,A Review of Biology Literature 20,2022,Biology,31.0,5,9.4,Brazil,False
P0310,Impact of Physics on Society 24,2012,Physics,6.0,4,2.04,UK,False
P0311,Impact of Physics on Society 93,2017,Physics,11.0,9,6.9,UK,False
P0312,Empirical Analysis of Chemistry 6,2022,Chemistry,1.0,7,4.26,France,True
P0313,A Review of Economics Literature 47,2022,Economics,0.0,7,1.01,France,False
P0314,New Methods in Computer Science 57,2022,Computer Science,,4,,Canada,True
P0315,A Study of Economics Trends 97,2011,Economics,36.0,3,11.05,Germany,True
P0316,Empirical Analysis of Economics 30,2012,Economics,23.0,3,11.77,Canada,True
P0317,Experimental Economics 31,2019,Economics,10.0,8,0.77,USA,True
P0318,A Study of Sociology Trends 61,2016,Sociology,3.0,1,,Canada,True
P0319,New Methods in Chemistry 48,2020,Chemistry,3.0,3,9.97,USA,False
P0320,Empirical Analysis of Physics 60,2016,Physics,5.0,7,0.51,Germany,False
P0321,A Study of Chemistry Trends 100,2016,Chemistry,15.0,8,1.05,Australia,False
P0322,A Review of Chemistry Literature 65,2016,Chemistry,25.0,3,,USA,True
P0323,Experimental Chemistry 54,2017,Chemistry,21.0,9,2.7,Brazil,True
P0324,Impact of Physics on Society 26,2016,Physics,6.0,9,5.28,Japan,False
P0325,Impact of Physics on Society 33,2010,Physics,61.0,6,6.17,Canada,False
P0326,Advances in Economics 83,2010,Economics,26.0,8,0.55,Canada,False
P0327,Empirical Analysis of Chemistry 48,2018,Chemistry,,5,10.76,Brazil,False
P0328,Experimental Computer Science 14,2013,Computer Science,18.0,5,11.68,Japan,False
P0329,Experimental Sociology 16,2021,Sociology,10.0,9,7.43,France,False
P0330,A Study of Sociology Trends 11,2015,Sociology,5.0,10,6.36,France,False
P0331,Impact of Physics on Society 35,2010,Physics,8.0,1,11.05,USA,True
P0332,Empirical Analysis of Biology 66,2015,Biology,28.0,7,12.28,Japan,False
P0333,Impact of Biology on Society 56,2022,Biology,0.0,2,1.52,Brazil,False
P0334,The Future of Biology 29,2023,Biology,2.0,3,3.77,Australia,True
P0335,Empirical Analysis of Medicine 45,2018,Medicine,0.0,1,6.07,Germany,False
P0336,Advances in Economics 54,2013,Economics,0.0,4,10.49,Canada,True
P0337,Advances in Biology 51,2010,Biology,38.0,5,11.81,India,True
P0338,Experimental Economics 48,2020,Economics,24.0,8,2.26,China,False
P0339,New Methods in Biology 50,2010,Biology,12.0,2,8.26,Brazil,True
P0340,The Future of Computer Science 48,2020,Computer Science,2.0,8,14.88,Australia,False
P0341,New Methods in Economics 4,2021,Economics,13.0,6,5.33,Australia,False
P0342,Challenges in Biology 13,2013,Biology,12.0,5,4.89,India,True
P0343,Challenges in Sociology 19,2013,Sociology,3.0,6,1.3,France,True
P0344,Impact of Physics on Society 5,2021,Physics,11.0,6,14.96,Canada,False
P0345,A Study of Economics Trends 61,2015,Economics,10.0,9,9.88,China,False
P0346,Impact of Sociology on Society 98,2014,Sociology,19.0,9,5.8,Japan,False
P0347,Empirical Analysis of Sociology 58,2012,Sociology,20.0,5,12.87,UK,True
P0348,Advances in Sociology 11,2011,Sociology,0.0,6,5.43,USA,True
P0349,Advances in Medicine 33,2016,Medicine,9.0,1,12.7,Brazil,True
P0350,New Methods in Physics 20,2018,Physics,19.0,7,11.53,France,True
P0351,Experimental Physics 94,2019,Physics,13.0,2,4.7,Canada,True
P0352,Experimental Chemistry 55,2014,Chemistry,38.0,6,3.45,Germany,False
P0353,The Future of Medicine 100,2012,Medicine,21.0,10,8.54,Brazil,True
